Date,High,Low,Open,Close
1962-01-02,0.096026115,0.09290839,0.09290839,0.09290839
1962-01-03,0.094467252,0.09290839,0.09290839,0.094155475
1962-01-04,0.094467252,0.093531929,0.094155475,0.094155475
1962-01-05,0.094779022,0.093843706,0.094155475,0.094467252
1962-01-08,0.095714346,0.092284843,0.094467252,0.094155475
1962-01-09,0.096026115,0.093531929,0.094155475,0.096026115
1962-01-10,0.097584985,0.096026115,0.096026115,0.096961439
1962-01-11,0.100390941,0.096649662,0.096961439,0.099767394
1962-01-12,0.100079171,0.095402569,0.099767394,0.096649662
1962-01-15,0.097273208,0.096026115,0.096649662,0.096649662
1962-01-16,0.096026115,0.093531929,0.096026115,0.094155475
1962-01-17,0.094155475,0.09103775,0.094155475,0.09103775
1962-01-18,0.093531929,0.091661297,0.091661297,0.09290839
1962-01-19,0.094779022,0.093531929,0.093531929,0.094779022
1962-01-22,0.096337892,0.095402569,0.095402569,0.096337892
1962-01-23,0.098520301,0.095402569,0.096337892,0.096026115
1962-01-24,0.096026115,0.093531929,0.096026115,0.094779022
1962-01-25,0.095090799,0.093531929,0.094779022,0.093531929
1962-01-26,0.094779022,0.09290839,0.093531929,0.09290839
1962-01-29,0.094155475,0.09290839,0.09290839,0.09290839
1962-01-30,0.093843706,0.092284843,0.09290839,0.093531929
1962-01-31,0.093843706,0.09290839,0.093531929,0.093531929
1962-02-01,0.096337892,0.093531929,0.093531929,0.094779022
1962-02-02,0.096026115,0.094779022,0.094779022,0.094779022
1962-02-05,0.095714346,0.094779022,0.094779022,0.094779022
1962-02-06,0.095402569,0.094155475,0.094779022,0.094155475
1962-02-07,0.096026115,0.094779022,0.094779022,0.095402569
1962-02-08,0.098832078,0.096649662,0.096649662,0.097896755
1962-02-09,0.099143848,0.098208532,0.098208532,0.098520301
1962-02-12,0.098832078,0.097896755,0.098520301,0.098520301
1962-02-13,0.098520301,0.097273208,0.098520301,0.098520301
1962-02-14,0.098208532,0.097273208,0.098208532,0.097273208
