group_id,name,category_id,city_id
6388,Alternative Health NYC,14,10001
6510,Alternative Energy Meetup,4,10001
8458,NYC Animal Rights,26,10001
8940,The New York City Anime Group,29,10001
10104,NYC Pit Bull Group,26,10001
10359,NYC International Arabic Language & Culture Club,16,10001
12111,The New York City American Sign Language Meetup Group,16,10001
12542,The New York City Astrology Meetup,22,10001
12907,New York City Atheists Meetings,28,10001
14573,The New York City Ayn Rand Group,13,10001
15217,The New York City Backgammon Meetup Group,31,10001
15324,The Chicago Backpackers Meetup Group,23,60601
16620,New York City Basenji Meetup,26,10001
17183,The NYC Big Beautiful Fun People Meetup Group,31,10001
17921,The Beagle Pack!,26,10001
18843,NYC Bellydance Meetup!,5,10001
20517,The NYC Bipolar Meetup Group,33,10001
22211,Chicago Game Lovers,11,60601
22253,New York City Boardgames & Cardgames Group,11,10001
23713,The NYC Bookcrossing Meetup,18,10001
24765,The Chicago Boston Terrier Meetup Group,26,60601
25709,"Socialize, Network, and Connect",16,60601
25727,Brazilians and Brazilian Culture in NYC Meetup,16,10001
26154,The Chicago Freethinkers Meetup Group,28,60601
26217,The New York City Brights,28,10001
26415,Big Apple Brits/New York City British Expat Meetup Group,32,10001
26434,The San Francisco Bay Area British and Irish Social Club,16,94101
29051,The Chicago Expat Canadian Meetup Group,16,60601
29074,The New York City Expat Canadian Meetup Group,31,10001
30077,The New York City Casino Gambling Meetup Group,31,10001
30873,New York City Celiac Disease Meetup,10,10001
32509,The New York City Chihuahua Nation Meetup Group,26,10001
33104,Chicago Chinese Culture,16,60601
33154,NYC Original Chinese Language & Networking Meetup,16,10001
33172,Bay Area Chinese Language Group ,16,94101
36610,NYC Tea & Coffee Lovers,10,10001
37146,The Chicago Comic Book Meetup Group,29,60601
37855,The New York City-STATE-INTL Consultant Meetup Group,2,10001
37994,NYC Dining + Cooking,10,10001
41503,The New York City Czech and Slovak Meetup Group,16,10001
41708,The New York City Dachshund Meetup Group,26,10001
44819,Chicago Anxiety Depression Trauma (CADT),33,60601
45494,The New York City Digital Photography Meetup Group,27,10001
45720,Chicago Dining Out Meetup (CDO),31,60601
45748,"Food, Beer, Spirits, and Wine Tasting NYC Events and more!",31,10001
45848,The Super Cool Dio 2016 Meetup Group,31,10001
45901,The NYC Diplomacy and Risk Meetup Group,11,10001
46423,The New York City Divorce Support Meetup Group,33,10001
47098,The NYC Dungeons & Dragons Meetup Group,11,10001
49130,The Soul Dreamers Club of New York,22,10001
50657,NYC Freegan Meetup,4,10001
52576,"NYC Showtime: Discount Concerts,Theater, Shows, and more",21,10001
54126,Energy Healers NYC,14,10001
54258,The Chicago English Bulldog Meetup Group,26,60601
54356,The San Francisco English Bulldog Meetup Group,26,94101
54474,The New York Enneagram of Personality Meetup Group,22,10001
54628,The New York City Entrepreneur Meetup Group,2,10001
54659,Entrepreneurs & VCs,2,94101
54691,SUCCESS! An Entrepreneurial Meetup Group,2,10001
54954,The New York City Environmental Meetup Group,2,10001
